theta_mean,aro_aro_X,X_aro_aro,polar_polar_X,X_polar_polar,aliph_aliph_X,X_aliph_aliph
3.0,0,0,0,0,0,0
9.0,0,0,0,0,0,0
15.0,0,1,0,0,0,0
21.0,3,6,0,0,0,0
27.0,12,10,0,0,0,0
33.0,14,4,0,0,0,1
39.0,1,0,0,0,0,0
45.0,2,0,1,0,0,1
51.0,1,0,0,0,0,0
57.0,0,0,0,0,0,0
63.0,1,0,1,0,0,0
69.0,0,1,0,0,0,0
75.0,0,0,0,0,0,0
81.0,0,1,1,0,0,0
87.0,2,0,1,0,0,0
93.0,0,1,1,0,0,0
99.0,1,0,0,0,0,0
105.0,0,1,1,0,1,0
111.0,1,1,0,0,0,0
117.0,1,2,0,0,1,0
123.0,1,0,0,0,0,0
129.0,0,0,0,0,1,1
135.0,0,0,0,1,1,3
141.0,0,2,1,0,2,2
147.0,0,0,2,1,0,4
153.0,0,0,4,2,1,2
159.0,0,0,1,0,1,2
165.0,0,0,0,1,1,0
171.0,0,0,0,0,0,0
177.0,0,0,0,0,0,0
